Names	p.value	coeff	abs.coeff	fdr	Warning
Mm.347441	7.42947626930501e-06	0.0199887965740643	0.0199887965740643	999	0
Mm.29020	8.3415331005865e-06	0.00158433172028412	0.00158433172028412	999	0
Mm.87277	1.97313573648827e-05	0.0173078136500279	0.0173078136500279	999	0
Mm.3914	2.31181263784519e-05	0.00298931991561166	0.00298931991561166	999	0
Mm.2036	3.68525833993605e-05	0.0197543079935444	0.0197543079935444	999	0
Mm.286285	3.80415352702057e-05	0.0124161033116796	0.0124161033116796	999	0
Mm.32883	4.14342894060615e-05	0.00218529547325574	0.00218529547325574	999	0
Mm.267410	4.38449404995822e-05	0.00294710596546208	0.00294710596546208	999	0
Mm.265060	4.63420005366588e-05	0.009160315202624	0.009160315202624	999	0
Mm.177539	5.46455537996371e-05	0.00118834648363894	0.00118834648363894	999	0
Mm.38344	6.43850989723305e-05	0.000163542049415307	0.000163542049415307	999	0
Mm.277996	6.58229186892845e-05	0.00247685714353935	0.00247685714353935	999	0
Mm.2160	7.05392566626717e-05	-0.00237528125562034	0.00237528125562034	999	0
Mm.203	7.10490434256972e-05	0.000990543248226414	0.000990543248226414	999	0
Mm.177990	0.000105609176603960	0.00270122527993641	0.00270122527993641	999	0
Mm.307668	0.000119699240523907	0.000814842724432396	0.000814842724432396	999	0
Mm.38529	0.000127077600201364	0.00103773048009176	0.00103773048009176	999	0
Mm.222584	0.000148047773458448	0.00695112049067776	0.00695112049067776	999	0
Mm.171224	0.000155779839298376	0.000183895767693756	0.000183895767693756	999	0
Mm.277629	0.000159205474778989	0.000379811712503819	0.000379811712503819	999	0
Mm.171514	0.000166312705007443	0.00754814279907484	0.00754814279907484	999	0
Mm.196532	0.000176273947469330	0.000107598188386087	0.000107598188386087	999	0
Mm.28366	0.00017669107480367	0.0091037878089196	0.0091037878089196	999	0
Mm.93759	0.000197793269282709	-0.00494189331114172	0.00494189331114172	999	0
Mm.275150	0.000229940412158736	0.0056142732028376	0.0056142732028376	999	0
Mm.45683	0.0002379382574762	-0.00465466234162227	0.00465466234162227	999	0
Mm.24115	0.000244459712818834	-0.00445643675799474	0.00445643675799474	999	0
Mm.2044	0.000264438911918408	0.00718513152888211	0.00718513152888211	999	0
Mm.25042	0.000274013103665038	0.000226821060059585	0.000226821060059585	999	0
Mm.10724	0.000287174058791750	0.000501919486420614	0.000501919486420614	999	0
Mm.338476	0.000370095799583692	0.000152316487565383	0.000152316487565383	999	0
Mm.25138	0.000373437920958342	-0.00482372508533304	0.00482372508533304	999	0
Mm.64911	0.000388268801190472	0.00329793631555459	0.00329793631555459	999	0
Mm.321701	0.00042434488285481	0.00990392734587143	0.00990392734587143	999	0
Mm.329700	0.000449359483710166	-0.00436139957107242	0.00436139957107242	999	0
Mm.246911	0.000466459368337668	0.00520062495310323	0.00520062495310323	999	0
Mm.41558	0.000477083748628648	-0.0035578676567631	0.0035578676567631	999	0
Mm.371044	0.000480402080756726	0.000979868485095238	0.000979868485095238	999	0
Mm.20929	0.00049182969984829	0.00656933516983201	0.00656933516983201	999	0
Mm.35399	0.000511692455840596	-0.00279041203456316	0.00279041203456316	999	0
Mm.2811	0.000516009383955573	-0.000195770762669167	0.000195770762669167	999	0
Mm.30927	0.000531853278461503	0.00316952901796151	0.00316952901796151	999	0
Mm.55685	0.000541491812194761	0.00405136503843643	0.00405136503843643	999	0
Mm.282743	0.000547405299648362	-0.00706778765411244	0.00706778765411244	999	0
Mm.24250	0.000548799067681571	0.000177786596463049	0.000177786596463049	999	0
